{'EPISODE END | Balance: 233.55| Max DD: 0.221| Trades: 356| Wins: 74| Losses: 104| Effectiveness (winrate): 41.57%'}
{'EPISODE END | Balance: 200.30| Max DD: 0.168| Trades: 182| Wins: 42| Losses: 49| Effectiveness (winrate): 46.15%'}
{'EPISODE END | Balance: 220.86| Max DD: 0.108| Trades: 174| Wins: 37| Losses: 50| Effectiveness (winrate): 42.53%'}
{'EPISODE END | Balance: 202.34| Max DD: 0.127| Trades: 176| Wins: 43| Losses: 45| Effectiveness (winrate): 48.86%'}
{'EPISODE END | Balance: 208.97| Max DD: 0.145| Trades: 308| Wins: 75| Losses: 79| Effectiveness (winrate): 48.70%'}
{'EPISODE END | Balance: 315.03| Max DD: 0.074| Trades: 270| Wins: 74| Losses: 61| Effectiveness (winrate): 54.81%'}
{'EPISODE END | Balance: 182.46| Max DD: 0.210| Trades: 152| Wins: 32| Losses: 44| Effectiveness (winrate): 42.11%'}
{'EPISODE END | Balance: 345.61| Max DD: 0.058| Trades: 366| Wins: 97| Losses: 86| Effectiveness (winrate): 53.01%'}
{'EPISODE END | Balance: 297.62| Max DD: 0.093| Trades: 364| Wins: 94| Losses: 88| Effectiveness (winrate): 51.65%'}
{'EPISODE END | Balance: 236.10| Max DD: 0.176| Trades: 334| Wins: 75| Losses: 92| Effectiveness (winrate): 44.91%'}
{'EPISODE END | Balance: 188.27| Max DD: 0.239| Trades: 308| Wins: 73| Losses: 81| Effectiveness (winrate): 47.40%'}
{'EPISODE END | Balance: 270.59| Max DD: 0.170| Trades: 460| Wins: 106| Losses: 124| Effectiveness (winrate): 46.09%'}
{'EPISODE END | Balance: 151.39| Max DD: 0.275| Trades: 152| Wins: 25| Losses: 51| Effectiveness (winrate): 32.89%'}
{'EPISODE END | Balance: 625.63| Max DD: 0.211| Trades: 1360| Wins: 321| Losses: 359| Effectiveness (winrate): 47.21%'}
{'EPISODE END | Balance: 182.91| Max DD: 0.159| Trades: 266| Wins: 54| Losses: 79| Effectiveness (winrate): 40.60%'}
{'EPISODE END | Balance: 220.37| Max DD: 0.096| Trades: 220| Wins: 45| Losses: 65| Effectiveness (winrate): 40.91%'}
