{'EPISODE END | Balance: 322.58| Max DD: 0.051| Trades: 134| Wins: 45| Losses: 22| Effectiveness (winrate): 67.16%'}
{'EPISODE END | Balance: 318.43| Max DD: 0.121| Trades: 310| Wins: 95| Losses: 60| Effectiveness (winrate): 61.29%'}
{'EPISODE END | Balance: 227.23| Max DD: 0.175| Trades: 318| Wins: 77| Losses: 82| Effectiveness (winrate): 48.43%'}
{'EPISODE END | Balance: 285.53| Max DD: 0.104| Trades: 246| Wins: 69| Losses: 54| Effectiveness (winrate): 56.10%'}
{'EPISODE END | Balance: 543.46| Max DD: 0.059| Trades: 436| Wins: 135| Losses: 83| Effectiveness (winrate): 61.93%'}
{'EPISODE END | Balance: 310.55| Max DD: 0.100| Trades: 312| Wins: 99| Losses: 57| Effectiveness (winrate): 63.46%'}
{'EPISODE END | Balance: 561.12| Max DD: 0.073| Trades: 392| Wins: 137| Losses: 59| Effectiveness (winrate): 69.90%'}
{'EPISODE END | Balance: 270.40| Max DD: 0.085| Trades: 254| Wins: 77| Losses: 50| Effectiveness (winrate): 60.63%'}
{'EPISODE END | Balance: 201.92| Max DD: 0.115| Trades: 180| Wins: 43| Losses: 47| Effectiveness (winrate): 47.78%'}
{'EPISODE END | Balance: 287.50| Max DD: 0.068| Trades: 220| Wins: 71| Losses: 39| Effectiveness (winrate): 64.55%'}
{'EPISODE END | Balance: 1552.14| Max DD: 0.079| Trades: 546| Wins: 195| Losses: 78| Effectiveness (winrate): 71.43%'}
{'EPISODE END | Balance: 220.59| Max DD: 0.165| Trades: 334| Wins: 77| Losses: 90| Effectiveness (winrate): 46.11%'}
{'EPISODE END | Balance: 3869.13| Max DD: 0.170| Trades: 788| Wins: 253| Losses: 141| Effectiveness (winrate): 64.21%'}
{'EPISODE END | Balance: 749.80| Max DD: 0.085| Trades: 450| Wins: 143| Losses: 82| Effectiveness (winrate): 63.56%'}
{'EPISODE END | Balance: 419.38| Max DD: 0.075| Trades: 360| Wins: 116| Losses: 64| Effectiveness (winrate): 64.44%'}
{'EPISODE END | Balance: 215.10| Max DD: 0.059| Trades: 168| Wins: 47| Losses: 37| Effectiveness (winrate): 55.95%'}
{'EPISODE END | Balance: 400.34| Max DD: 0.102| Trades: 418| Wins: 135| Losses: 74| Effectiveness (winrate): 64.59%'}
{'EPISODE END | Balance: 435.86| Max DD: 0.091| Trades: 352| Wins: 111| Losses: 65| Effectiveness (winrate): 63.07%'}
{'EPISODE END | Balance: 509.65| Max DD: 0.126| Trades: 390| Wins: 112| Losses: 83| Effectiveness (winrate): 57.44%'}
{'EPISODE END | Balance: 297.40| Max DD: 0.067| Trades: 212| Wins: 68| Losses: 38| Effectiveness (winrate): 64.15%'}
{'EPISODE END | Balance: 333.56| Max DD: 0.059| Trades: 330| Wins: 110| Losses: 55| Effectiveness (winrate): 66.67%'}
{'EPISODE END | Balance: 4375.56| Max DD: 0.116| Trades: 848| Wins: 289| Losses: 135| Effectiveness (winrate): 68.16%'}
{'EPISODE END | Balance: 206.70| Max DD: 0.250| Trades: 336| Wins: 92| Losses: 76| Effectiveness (winrate): 54.76%'}
{'EPISODE END | Balance: 288.10| Max DD: 0.073| Trades: 258| Wins: 85| Losses: 44| Effectiveness (winrate): 65.89%'}
{'EPISODE END | Balance: 343.05| Max DD: 0.067| Trades: 162| Wins: 52| Losses: 29| Effectiveness (winrate): 64.20%'}
