time/time_elapsed,time/total_timesteps,train/loss,time/episodes,time/fps,train/n_updates,train/learning_rate,rollout/exploration_rate,eval/mean_ep_length,eval/mean_reward
,3550000,0.03769186232239008,,,3539996,0.00025,0.05,10000.0,1574.3863253333332
13860,3582631,0.04155656881630421,860,258,3572628,0.00025,0.05,,
,3600000,0.04506151098757982,,,3589996,0.00025,0.05,10000.0,2808.238639333333
,3650000,0.029429971240460873,,,3639996,0.00025,0.05,10000.0,2983.5793809999996
14264,3682631,0.038140819407999516,870,258,3672628,0.00025,0.05,,
,3700000,0.03893359238281846,,,3689996,0.00025,0.05,10000.0,1344.8718556666665
,3750000,0.04913526587188244,,,3739996,0.00025,0.05,10000.0,2708.9340043333336
14669,3782631,0.03743986552581191,880,257,3772628,0.00025,0.05,,
,3800000,0.040383283980190754,,,3789996,0.00025,0.05,10000.0,2858.9157456666667
,3850000,0.03865814674645662,,,3839996,0.00025,0.05,10000.0,3213.0745386666663
15075,3882631,0.03605864103883505,890,257,3872628,0.00025,0.05,,
,3900000,0.03664683410897851,,,3889996,0.00025,0.05,10000.0,2763.964771333334
,3950000,0.04379721777513623,,,3939996,0.00025,0.05,10000.0,2497.920995666667
15484,3982631,0.04494933690875769,900,257,3972628,0.00025,0.05,,
,4000000,0.04601203836500645,,,3989996,0.00025,0.05,10000.0,3324.558415
,4050000,0.03746665921062231,,,4039996,0.00025,0.05,10000.0,2480.0015716666667
15890,4082631,0.03972942475229502,910,256,4072628,0.00025,0.05,,
,4100000,0.042495871894061565,,,4089996,0.00025,0.05,10000.0,1831.307187
,4150000,0.05304775573313236,,,4139996,0.00025,0.05,10000.0,1840.3971293333334
16296,4182631,0.05431916192173958,920,256,4172628,0.00025,0.05,,
,4200000,0.04528046492487192,,,4189996,0.00025,0.05,10000.0,2572.208242333333
,4250000,0.04597096610814333,,,4239996,0.00025,0.05,10000.0,4191.560578
16707,4282631,0.0427388921380043,930,256,4272628,0.00025,0.05,,
,4300000,0.03504938539117575,,,4289996,0.00025,0.05,10000.0,2773.9822556666663
,4350000,0.06512552220374346,,,4339996,0.00025,0.05,10000.0,2257.291730666667
17116,4382631,0.04197712242603302,940,256,4372628,0.00025,0.05,,
,4400000,0.04528677091002464,,,4389996,0.00025,0.05,10000.0,2666.859963
,4450000,0.05308348312973976,,,4439996,0.00025,0.05,10000.0,1557.0122866666668
17526,4482631,0.06356311589479446,950,255,4472628,0.00025,0.05,,
,4500000,0.05565653834491968,,,4489996,0.00025,0.05,10000.0,3503.1504216666667
,4550000,0.04136459156870842,,,4539996,0.00025,0.05,10000.0,2723.682923
17937,4582631,0.037294072564691305,960,255,4572628,0.00025,0.05,,
,4600000,0.03864249540492892,,,4589996,0.00025,0.05,10000.0,2877.0363873333336
,4650000,0.03443954652175307,,,4639996,0.00025,0.05,10000.0,2938.0725246666666
18348,4682631,0.029017666820436716,970,255,4672628,0.00025,0.05,,
,4700000,0.04131033970043063,,,4689996,0.00025,0.05,10000.0,2214.1399786666666
,4750000,0.03092952584847808,,,4739996,0.00025,0.05,10000.0,2628.909709
18759,4782631,0.040377890691161156,980,254,4772628,0.00025,0.05,,
,4800000,0.04899103660136461,,,4789996,0.00025,0.05,10000.0,2076.5272666666665
,4850000,0.04227352607995272,,,4839996,0.00025,0.05,10000.0,2366.4592836666666
19174,4882631,0.05444545764476061,990,254,4872628,0.00025,0.05,,
,4900000,0.06309135351330042,,,4889996,0.00025,0.05,10000.0,3316.569989333333
,4950000,0.043264844454824924,,,4939996,0.00025,0.05,10000.0,2629.8682169999997
19584,4982631,0.05407064035534859,1000,254,4972628,0.00025,0.05,,
,5000000,0.03498140024021268,,,4989996,0.00025,0.05,10000.0,2329.2973856666667
,5050000,0.038600215688347816,,,5039996,0.00025,0.05,10000.0,260.44711333333333
19997,5082631,0.052945369854569435,1010,254,5072628,0.00025,0.05,,
,5100000,0.03714856784790754,,,5089996,0.00025,0.05,10000.0,-949.2032736666669
,5150000,0.049257298931479454,,,5139996,0.00025,0.05,10000.0,2465.447796
20408,5182631,0.0513748973608017,1020,253,5172628,0.00025,0.05,,
,5200000,0.04762063827365637,,,5189996,0.00025,0.05,10000.0,3257.7564186666664
,5250000,0.04196941573172808,,,5239996,0.00025,0.05,10000.0,2505.171073
20821,5282631,0.0608611274510622,1030,253,5272628,0.00025,0.05,,
,5300000,0.04766235966235399,,,5289996,0.00025,0.05,10000.0,2207.763738
,5350000,0.05791274178773165,,,5339996,0.00025,0.05,10000.0,2751.0676819999994
21234,5382631,0.04260339122265577,1040,253,5372628,0.00025,0.05,,
,5400000,0.044623687863349915,,,5389996,0.00025,0.05,10000.0,2243.7425306666664
,5450000,0.043608699925243855,,,5439996,0.00025,0.05,10000.0,2988.4648360000006
21644,5482631,0.05036228056997061,1050,253,5472628,0.00025,0.05,,
,5500000,0.05156287597492337,,,5489996,0.00025,0.05,10000.0,2277.183342
,5550000,0.04474128130823374,,,5539996,0.00025,0.05,10000.0,3200.477106
22056,5582631,0.03414232097566128,1060,253,5572628,0.00025,0.05,,
,5600000,0.037729199044406414,,,5589996,0.00025,0.05,10000.0,3117.318585333334
,5650000,0.0635861037299037,,,5639996,0.00025,0.05,10000.0,3314.3777716666664
22468,5682631,0.06403164844959974,1070,252,5672628,0.00025,0.05,,
,5700000,0.04065397568047047,,,5689996,0.00025,0.05,10000.0,1921.8717813333333
,5750000,0.05381347704678774,,,5739996,0.00025,0.05,10000.0,2698.2872516666666
22881,5782631,0.040524419862776995,1080,252,5772628,0.00025,0.05,,
,5800000,0.04347967356443405,,,5789996,0.00025,0.05,10000.0,2535.6001026666668
,5850000,0.046720871701836586,,,5839996,0.00025,0.05,10000.0,2962.063327
23293,5882631,0.044489048421382904,1090,252,5872628,0.00025,0.05,,
,5900000,0.05119302403181791,,,5889996,0.00025,0.05,10000.0,2981.629796333333
,5950000,0.06157738622277975,,,5939996,0.00025,0.05,10000.0,2979.0181260000004
23707,5982631,0.052092740312218666,1100,252,5972628,0.00025,0.05,,
,6000000,0.05806963425129652,,,5989996,0.00025,0.05,10000.0,2901.281542
,6050000,0.049162695184350014,,,6039996,0.00025,0.05,10000.0,2176.2415116666666
24124,6082631,0.05088478233665228,1110,252,6072628,0.00025,0.05,,
,6100000,0.03639226499944925,,,6089996,0.00025,0.05,10000.0,1954.5776646666666
,6150000,0.058615618385374546,,,6139996,0.00025,0.05,10000.0,2043.898636
24543,6182631,0.05379991605877876,1120,251,6172628,0.00025,0.05,,
,6200000,0.05570553429424763,,,6189996,0.00025,0.05,10000.0,2343.0157896666665
,6250000,0.056281053461134434,,,6239996,0.00025,0.05,10000.0,2625.021013
24959,6282631,0.04075295478105545,1130,251,6272628,0.00025,0.05,,
,6300000,0.050672318786382675,,,6289996,0.00025,0.05,10000.0,-94.18192633333335
,6350000,0.05735210981220007,,,6339996,0.00025,0.05,10000.0,1664.110498666667
25376,6382631,0.046840730123221874,1140,251,6372628,0.00025,0.05,,
,6400000,0.04911226872354746,,,6389996,0.00025,0.05,10000.0,1608.0313720000001
,6450000,0.051715235225856304,,,6439996,0.00025,0.05,10000.0,-527.5129096666667
25877,6482631,0.05321949440985918,1150,250,6472628,0.00025,0.05,,
,6500000,0.0475337952375412,,,6489996,0.00025,0.05,10000.0,2073.415413
,6550000,0.0390096427872777,,,6539996,0.00025,0.05,10000.0,2865.324416
